Signal,LR_coef_adj,IC_60d,Stability,Final_Weight,CI_lower,CI_upper
KS1 (HY Spread),0.28159414852425046,0.05427924913785484,0.08381643050129181,0.20174290536417924,0.10125095792495177,0.4729470716298641
KS2 (Joint Selloff),0.02948017127715113,0.04554541232907647,0.4859937683588166,0.1460202469625796,-0.0660996585529775,0.10938991233641812
KS3 (Real Rate),0.23220353646702346,0.01966187411288213,0.0478506649069671,0.14356004887047058,0.3578869479950698,0.11215572173896214
KS4 (Bank Credit),0.0,0.07869738510219965,0.03787157896856125,0.0657262338836223,0.1474183024678752,-0.15578509878075306
IG/HY Differential,0.0,0.015669281301179387,0.31321174988674366,0.0742208638272517,-0.2512926437322861,-0.020395449776447593
VIX,0.4286010003662192,0.1921388323928112,0.03125580737761972,0.3687297010918967,0.22048898845710121,0.6214877902441643
